HomeTeam,AwayTeam,FTR,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Eibar,Celta,D,D,8,6,1,3,17,13,3,3,4,4,1,0
Granada,Ath Bilbao,H,D,4,9,2,2,8,10,1,2,3,4,0,0
Cadiz,Osasuna,A,A,12,6,3,4,14,21,6,2,2,2,0,0
Alaves,Betis,A,D,7,11,2,4,19,17,6,4,3,3,0,0
Valladolid,Sociedad,D,H,8,8,3,2,15,17,5,3,4,1,0,0
Villarreal,Huesca,D,A,15,10,4,3,10,22,6,6,1,1,0,0
Valencia,Levante,H,D,14,19,8,8,9,14,3,4,1,3,0,0
Villarreal,Eibar,H,D,14,12,8,4,5,12,4,3,1,1,0,0
Getafe,Osasuna,H,D,7,10,1,3,19,13,4,1,4,2,0,0
Celta,Valencia,H,H,23,9,6,3,12,13,6,6,3,1,0,0
Huesca,Cadiz,A,A,4,6,0,4,18,23,2,1,3,3,0,0
Betis,Valladolid,H,H,16,9,6,2,18,10,5,3,3,0,0,0
Granada,Alaves,H,D,10,5,3,3,9,12,4,4,0,3,0,0
Sociedad,Real Madrid,D,D,6,16,1,4,17,12,1,11,2,2,0,0
Alaves,Getafe,D,D,9,11,0,4,13,13,1,5,2,2,0,0
Valencia,Huesca,D,H,5,17,2,4,14,20,4,4,0,1,0,0
Elche,Sociedad,A,D,5,27,2,7,11,12,2,11,3,1,0,0
Betis,Real Madrid,A,H,15,11,5,4,9,10,8,3,5,2,1,0
Osasuna,Levante,A,D,9,11,4,5,15,16,3,7,2,0,0,0
Eibar,Ath Bilbao,A,A,7,9,1,5,15,12,5,4,1,0,0,0
Ath Madrid,Granada,H,H,17,11,10,6,16,14,1,1,3,1,0,0
Cadiz,Sevilla,A,D,12,14,5,5,9,14,6,5,4,2,0,0
Valladolid,Celta,D,A,10,5,4,1,26,18,4,1,3,4,0,0
Barcelona,Villarreal,H,H,17,5,9,1,9,10,8,4,0,1,0,0
Sociedad,Valencia,A,D,11,9,3,5,16,15,9,3,1,5,0,0
Getafe,Betis,H,H,8,10,4,2,15,17,1,4,4,4,0,1
Huesca,Ath Madrid,D,D,9,16,3,2,13,10,5,7,1,0,0,0
Villarreal,Alaves,H,H,10,8,6,3,11,13,2,0,0,2,0,0
Eibar,Elche,A,A,12,5,4,2,9,14,3,2,2,2,0,0
Real Madrid,Valladolid,H,D,15,11,5,5,11,7,4,7,2,1,0,0
Ath Bilbao,Cadiz,A,D,13,3,4,1,15,16,5,2,3,5,0,2
Sevilla,Levante,H,D,16,3,2,1,14,17,2,4,5,2,0,0
Celta,Barcelona,A,A,10,6,3,3,22,10,3,7,5,5,0,1
Valladolid,Eibar,A,D,9,11,3,5,11,21,3,4,2,3,0,1
Ath Madrid,Villarreal,D,D,14,6,1,2,11,7,9,1,1,2,0,0
Elche,Huesca,D,D,2,18,0,4,8,26,0,5,0,2,0,0
Sociedad,Getafe,H,H,11,5,6,1,21,13,5,4,3,3,0,0
Valencia,Betis,A,A,5,17,2,8,11,14,4,7,2,2,0,0
Osasuna,Celta,H,H,14,9,5,3,19,10,6,5,3,3,0,0
Alaves,Ath Bilbao,H,D,8,8,3,0,20,17,0,6,2,3,1,0
Levante,Real Madrid,A,A,11,13,4,3,14,8,4,6,2,1,0,0
Cadiz,Granada,D,A,14,13,4,5,16,16,2,5,2,2,0,0
Barcelona,Sevilla,D,D,12,13,5,1,11,18,6,5,1,1,0,0
Granada,Sevilla,H,D,13,8,3,3,16,11,5,1,4,4,0,1
Celta,Ath Madrid,A,A,15,9,5,4,16,18,8,4,3,4,0,0
Real Madrid,Cadiz,A,A,14,14,2,5,7,5,4,11,2,0,0,0
Getafe,Barcelona,H,D,9,7,4,1,20,10,7,2,4,3,0,0
Eibar,Osasuna,D,D,10,8,6,2,14,14,6,7,2,3,0,1
Ath Bilbao,Levante,H,D,14,6,5,1,11,10,9,3,3,1,0,0
Villarreal,Valencia,H,D,16,11,6,3,13,8,3,7,4,1,1,0
Alaves,Elche,A,A,13,7,2,3,11,11,2,6,2,5,0,0
Huesca,Valladolid,D,A,12,5,7,3,14,24,3,1,1,2,0,0
Betis,Sociedad,A,A,7,8,1,5,11,18,6,2,2,1,0,0
Elche,Valencia,H,H,3,14,2,4,15,8,0,7,3,2,0,0
Barcelona,Real Madrid,A,D,10,15,4,9,11,13,7,7,3,2,0,0
Osasuna,Ath Bilbao,H,D,7,13,2,5,18,10,2,5,3,2,0,0
Sevilla,Eibar,A,A,21,3,3,1,11,12,13,3,0,3,0,0
Ath Madrid,Betis,H,D,13,12,6,3,19,12,8,5,2,0,0,1
Valladolid,Alaves,A,D,5,14,1,4,9,7,2,4,1,0,1,0
Cadiz,Villarreal,D,D,5,7,0,2,15,7,0,5,2,2,0,0
Getafe,Granada,A,A,10,5,1,2,19,23,6,1,4,2,0,0
Sociedad,Huesca,H,H,13,6,6,4,12,11,4,5,2,1,0,0
Levante,Celta,D,D,10,10,3,3,11,19,3,2,2,2,0,0
Eibar,Cadiz,A,A,9,6,3,4,10,10,7,2,1,1,0,0
Real Madrid,Huesca,H,H,13,9,6,2,16,9,6,3,0,2,0,0
Ath Bilbao,Sevilla,H,A,16,7,5,3,17,19,6,1,5,5,0,0
Osasuna,Ath Madrid,A,A,8,11,3,6,12,10,3,2,1,2,0,0
Alaves,Barcelona,D,H,4,25,3,9,16,4,2,14,4,3,1,0
Betis,Elche,H,H,17,4,10,2,13,12,1,1,2,1,0,0
Celta,Sociedad,A,A,9,9,2,7,19,16,2,3,2,5,1,0
Granada,Levante,D,D,5,19,2,4,7,14,2,8,2,3,1,0
Valencia,Getafe,D,H,11,16,5,5,18,25,0,3,8,5,1,1
Villarreal,Valladolid,H,H,11,11,5,1,13,13,6,4,1,3,0,0
Elche,Celta,D,D,8,14,1,6,18,12,3,3,3,4,0,0
Huesca,Eibar,D,A,14,8,6,3,16,30,4,3,2,0,0,0
Barcelona,Betis,H,D,18,12,9,6,8,10,9,5,2,2,0,1
Sevilla,Osasuna,H,D,9,10,1,2,11,19,3,0,2,3,0,0
Ath Madrid,Cadiz,H,H,17,10,7,3,10,9,2,7,1,1,0,0
Getafe,Villarreal,A,A,13,9,5,5,18,11,3,3,3,4,0,0
Sociedad,Granada,H,H,22,2,9,1,8,11,15,0,2,1,1,0
Levante,Alaves,D,A,18,6,5,2,12,16,12,1,1,6,0,1
Valladolid,Ath Bilbao,H,H,7,17,4,2,23,11,2,11,4,2,0,0
Valencia,Real Madrid,H,H,7,16,4,6,13,14,1,8,3,2,0,0
